Latitude,Longitude,Elevation
32.06876000,-84.9082500,177.0
32.06874000,-84.9083700,174.0
32.06878000,-84.9084900,173.0
32.06884000,-84.9086100,173.0
32.06884000,-84.9087100,172.0
32.06881000,-84.9088100,170.0
32.06875000,-84.9089400,169.0
32.06869000,-84.9090400,171.0
32.06854000,-84.9092200,176.0
32.06845000,-84.9093700,179.0
32.06837000,-84.9095300,180.0
32.06829000,-84.9096300,179.0
32.06823000,-84.9097400,177.0
32.06819000,-84.9098500,175.0
32.06813000,-84.9098800,174.0
32.06806000,-84.9099300,173.0
32.06802000,-84.9100800,170.0
32.06794000,-84.9101800,169.0
32.06788000,-84.9103600,167.0
32.06782000,-84.9105000,167.0
32.06782000,-84.9105700,167.0
32.06785000,-84.9106300,166.0
32.06784000,-84.9107200,166.0
32.06778000,-84.9107700,166.0
32.06773000,-84.9108700,165.0
32.06770000,-84.9110000,164.0
32.06766000,-84.9112000,161.0
32.06763000,-84.9115800,157.0
32.06757000,-84.9117500,156.0
32.06748000,-84.9119400,156.0
32.06731000,-84.9120900,156.0
32.06719000,-84.9121800,155.0
32.06720000,-84.9122900,154.0
32.06721000,-84.9123600,153.0
32.06721000,-84.9124100,153.0
32.06720000,-84.9124600,153.0
32.06717000,-84.9125000,152.0
32.06712000,-84.9125700,152.0
32.06711000,-84.9126100,152.0
32.06711000,-84.9126300,152.0
32.06714000,-84.9126600,152.0
32.06717000,-84.9126700,152.0
32.06727000,-84.9126700,154.0
32.06740000,-84.9127200,159.0
32.06752000,-84.9127700,164.0
32.06759000,-84.9128700,165.0
32.06762000,-84.9129600,166.0
32.06763000,-84.9131100,168.0
32.06764000,-84.9132000,169.0
32.06762000,-84.9132800,170.0
32.06760000,-84.9133400,170.0
32.06757000,-84.9134000,171.0
32.06750000,-84.9135300,171.0
32.06745000,-84.9136000,171.0
32.06739000,-84.9136500,170.0
32.06731000,-84.9136900,168.0
32.06725000,-84.9137300,167.0
32.06721000,-84.9138000,167.0
32.06720000,-84.9138800,169.0
32.06720000,-84.9139400,170.0
32.06724000,-84.9140700,174.0
32.06724000,-84.9141700,176.0
32.06728000,-84.9142400,177.0
32.06734000,-84.9142700,179.0
32.06740000,-84.9142400,179.0
32.06744000,-84.9142200,180.0
32.06748000,-84.9141800,180.0
32.06759000,-84.9140200,181.0
32.06769000,-84.9138500,181.0
32.06794000,-84.9135700,180.0
32.06801000,-84.9134900,179.0
32.06810000,-84.9134300,180.0
32.06821000,-84.9133600,179.0
32.06830000,-84.9132900,179.0
32.06840000,-84.9132500,181.0
32.06871000,-84.9132300,184.0
32.06878000,-84.9132300,183.0
32.06886000,-84.9132600,183.0
32.06891000,-84.9132900,183.0
32.06898000,-84.9133100,182.0
32.06900000,-84.9133300,182.0
32.06899000,-84.9133100,182.0
