Latitude,Longitude,Elevation
33.80879000,-84.1532700,390.0
33.80881000,-84.1533100,390.0
33.80883000,-84.1533500,389.0
33.80886000,-84.1534100,389.0
33.80890000,-84.1535100,388.0
33.80896000,-84.1536300,387.0
33.80901000,-84.1537100,387.0
33.80908000,-84.1537900,387.0
33.80916000,-84.1539200,387.0
33.80921000,-84.1540400,386.0
33.80925000,-84.1541400,385.0
33.80927000,-84.1542000,385.0
33.80928000,-84.1542300,384.0
33.80930000,-84.1542600,384.0
33.80932000,-84.1543300,384.0
33.80933000,-84.1544000,383.0
33.80935000,-84.1544400,383.0
33.80935000,-84.1544800,382.0
33.80938000,-84.1545800,381.0
33.80940000,-84.1547100,379.0
33.80944000,-84.1548500,378.0
33.80945000,-84.1549000,377.0
33.80945000,-84.1549600,377.0
33.80948000,-84.1550600,376.0
33.80948000,-84.1550900,376.0
33.80949000,-84.1551200,376.0
33.80949000,-84.1551500,376.0
33.80950000,-84.1551700,375.0
33.80951000,-84.1552000,375.0
33.80951000,-84.1552300,375.0
33.80954000,-84.1552900,375.0
33.80958000,-84.1553700,374.0
33.80960000,-84.1554500,373.0
33.80962000,-84.1555000,373.0
33.80964000,-84.1555500,372.0
33.80963000,-84.1555900,372.0
33.80964000,-84.1556300,371.0
33.80967000,-84.1557100,370.0
33.80968000,-84.1557700,369.0
33.80971000,-84.1558300,368.0
33.80974000,-84.1559400,366.0
33.80978000,-84.1560400,365.0
33.80980000,-84.1561400,364.0
33.80983000,-84.1562300,364.0
33.80984000,-84.1562600,364.0
33.80986000,-84.1562900,364.0
33.80987000,-84.1563300,364.0
33.80990000,-84.1564400,363.0
33.80990000,-84.1564900,362.0
33.80994000,-84.1566400,361.0
33.80995000,-84.1567400,360.0
33.80996000,-84.1568000,359.0
33.80998000,-84.1568400,359.0
33.81000000,-84.1569300,358.0
33.81004000,-84.1570300,356.0
33.81008000,-84.1571500,354.0
33.81008000,-84.1571800,353.0
33.81009000,-84.1572200,353.0
33.81009000,-84.1572600,352.0
33.81010000,-84.1573000,352.0
33.81011000,-84.1573400,351.0
33.81014000,-84.1575400,348.0
33.81016000,-84.1576200,346.0
33.81016000,-84.1576500,345.0
33.81017000,-84.1576800,344.0
33.81017000,-84.1577100,343.0
33.81018000,-84.1577600,342.0
33.81018000,-84.1578300,341.0
33.81014000,-84.1579400,340.0
33.81013000,-84.1580200,339.0
33.81013000,-84.1581100,338.0
33.81014000,-84.1581500,338.0
33.81014000,-84.1582300,338.0
33.81015000,-84.1582800,338.0
33.81016000,-84.1583300,338.0
33.81016000,-84.1584100,338.0
33.81017000,-84.1585100,337.0
33.81020000,-84.1586200,337.0
33.81022000,-84.1586500,336.0
33.81025000,-84.1587500,335.0
33.81026000,-84.1588300,334.0
33.81028000,-84.1588900,333.0
33.81031000,-84.1590100,332.0
33.81031000,-84.1590600,332.0
33.81034000,-84.1591700,331.0
33.81034000,-84.1592100,330.0
33.81036000,-84.1592700,330.0
33.81037000,-84.1593200,329.0
33.81038000,-84.1593600,329.0
33.81040000,-84.1594000,328.0
33.81041000,-84.1594400,328.0
33.81041000,-84.1594800,328.0
33.81042000,-84.1595100,327.0
33.81043000,-84.1596100,327.0
33.81045000,-84.1596800,326.0
33.81045000,-84.1597100,326.0
33.81046000,-84.1597600,325.0
33.81052000,-84.1599700,323.0
33.81062000,-84.1602100,319.0
33.81062000,-84.1602500,319.0
33.81061000,-84.1603100,318.0
33.81061000,-84.1603300,318.0
33.81061000,-84.1603600,317.0
33.81061000,-84.1603900,317.0
33.81061000,-84.1604300,316.0
33.81060000,-84.1604700,316.0
33.81060000,-84.1605000,316.0
33.81060000,-84.1605400,315.0
33.81061000,-84.1606400,314.0
33.81063000,-84.1607200,313.0
33.81066000,-84.1608200,312.0
33.81067000,-84.1608500,312.0
33.81069000,-84.1609000,312.0
33.81070000,-84.1609600,312.0
33.81072000,-84.1610100,311.0
33.81073000,-84.1610700,311.0
33.81074000,-84.1611400,310.0
33.81074000,-84.1613200,310.0
33.81074000,-84.1613300,310.0
33.81073000,-84.1613900,309.0
33.81072000,-84.1614500,309.0
33.81070000,-84.1615000,309.0
33.81068000,-84.1615500,309.0
33.81065000,-84.1616000,309.0
33.81063000,-84.1616600,309.0
33.81062000,-84.1617200,309.0
33.81062000,-84.1617800,308.0
33.81064000,-84.1618300,308.0
33.81067000,-84.1619600,308.0
