Latitude,Longitude,Elevation
34.64223000,-84.4405300,496.0
34.64228000,-84.4405500,496.0
34.64233000,-84.4405900,496.0
34.64238000,-84.4406300,496.0
34.64243000,-84.4406500,496.0
34.64249000,-84.4406800,496.0
34.64254000,-84.4407200,496.0
34.64258000,-84.4407600,497.0
34.64264000,-84.4407800,497.0
34.64269000,-84.4408200,498.0
34.64274000,-84.4408600,498.0
34.64279000,-84.4408900,499.0
34.64284000,-84.4409100,499.0
34.64289000,-84.4409500,499.0
34.64294000,-84.4409900,499.0
34.64299000,-84.4410100,499.0
34.64304000,-84.4410500,499.0
34.64309000,-84.4410900,498.0
34.64314000,-84.4411300,497.0
34.64319000,-84.4411700,496.0
34.64324000,-84.4412100,495.0
34.64329000,-84.4412500,494.0
34.64334000,-84.4412800,494.0
34.64339000,-84.4413200,493.0
34.64344000,-84.4413600,492.0
34.64349000,-84.4414200,491.0
34.64353000,-84.4414700,491.0
34.64358000,-84.4415200,490.0
34.64363000,-84.4415800,490.0
34.64368000,-84.4416100,490.0
34.64373000,-84.4416600,490.0
34.64378000,-84.4416800,490.0
34.64384000,-84.4416900,490.0
34.64389000,-84.4416800,489.0
34.64395000,-84.4416800,489.0
34.64401000,-84.4416600,489.0
34.64408000,-84.4416500,488.0
34.64414000,-84.4416300,488.0
34.64420000,-84.4416100,487.0
34.64426000,-84.4416000,487.0
34.64432000,-84.4415800,486.0
34.64438000,-84.4415600,486.0
34.64444000,-84.4415400,485.0
34.64451000,-84.4415300,485.0
34.64457000,-84.4415100,484.0
34.64463000,-84.4414900,484.0
34.64468000,-84.4414600,483.0
34.64473000,-84.4414400,483.0
34.64479000,-84.4414100,483.0
34.64483000,-84.4413700,483.0
34.64487000,-84.4413300,483.0
34.64491000,-84.4412900,483.0
34.64496000,-84.4412500,483.0
34.64499000,-84.4412000,483.0
34.64502000,-84.4411600,484.0
34.64506000,-84.4411100,484.0
34.64509000,-84.4410600,484.0
34.64511000,-84.4410000,484.0
34.64515000,-84.4409500,485.0
34.64518000,-84.4409000,485.0
34.64520000,-84.4408400,486.0
34.64524000,-84.4407900,486.0
34.64527000,-84.4407400,487.0
34.64530000,-84.4406800,488.0
34.64532000,-84.4406200,488.0
34.64535000,-84.4405700,489.0
34.64538000,-84.4405100,489.0
34.64540000,-84.4404500,489.0
34.64543000,-84.4403900,489.0
34.64546000,-84.4403500,490.0
34.64548000,-84.4402900,490.0
34.64551000,-84.4402300,490.0
34.64553000,-84.4401700,490.0
34.64557000,-84.4401200,490.0
34.64559000,-84.4400600,490.0
34.64561000,-84.4400000,490.0
34.64564000,-84.4399400,490.0
34.64567000,-84.4398900,490.0
34.64570000,-84.4398300,490.0
34.64572000,-84.4397700,490.0
34.64575000,-84.4397200,490.0
34.64579000,-84.4396700,490.0
34.64581000,-84.4396100,490.0
34.64584000,-84.4395600,490.0
34.64588000,-84.4395100,490.0
34.64590000,-84.4394500,490.0
34.64593000,-84.4394100,490.0
34.64597000,-84.4393600,490.0
34.64599000,-84.4393000,490.0
34.64603000,-84.4392500,491.0
34.64606000,-84.4392000,491.0
34.64609000,-84.4391500,491.0
34.64613000,-84.4391000,491.0
34.64616000,-84.4390500,491.0
34.64619000,-84.4390000,491.0
34.64623000,-84.4389500,491.0
34.64625000,-84.4388900,491.0
34.64627000,-84.4388300,491.0
34.64630000,-84.4387700,491.0
34.64631000,-84.4387000,491.0
34.64634000,-84.4386400,490.0
34.64636000,-84.4385900,490.0
34.64639000,-84.4385300,491.0
34.64642000,-84.4384800,491.0
34.64646000,-84.4384400,491.0
34.64648000,-84.4384100,491.0
34.64650000,-84.4383900,491.0
