Latitude,Longitude,Elevation
34.82181000,-83.7216600,769.0
34.82179000,-83.7217200,769.0
34.82177000,-83.7217700,769.0
34.82173000,-83.7218100,770.0
34.82170000,-83.7218500,771.0
34.82165000,-83.7218800,772.0
34.82161000,-83.7219200,772.0
34.82157000,-83.7219400,773.0
34.82152000,-83.7219500,774.0
34.82149000,-83.7220000,774.0
34.82144000,-83.7220200,775.0
34.82140000,-83.7220600,775.0
34.82137000,-83.7221000,775.0
34.82133000,-83.7221300,776.0
34.82130000,-83.7221700,777.0
34.82126000,-83.7222200,777.0
34.82123000,-83.7222600,778.0
34.82118000,-83.7223000,779.0
34.82114000,-83.7223300,780.0
34.82110000,-83.7223700,781.0
34.82106000,-83.7223900,782.0
34.82104000,-83.7223900,782.0
34.82103000,-83.7224100,782.0
34.82099000,-83.7224200,783.0
34.82094000,-83.7224400,784.0
34.82090000,-83.7224700,785.0
34.82087000,-83.7225200,786.0
34.82084000,-83.7225700,787.0
34.82080000,-83.7226200,788.0
34.82077000,-83.7226600,788.0
34.82076000,-83.7226500,788.0
34.82073000,-83.7226800,789.0
34.82069000,-83.7227100,789.0
34.82065000,-83.7227400,790.0
34.82061000,-83.7227800,790.0
34.82057000,-83.7228000,791.0
34.82053000,-83.7228200,791.0
34.82049000,-83.7228500,792.0
34.82045000,-83.7228900,793.0
34.82040000,-83.7229100,794.0
34.82027000,-83.7229900,796.0
34.82025000,-83.7230000,796.0
34.82021000,-83.7230200,797.0
34.82017000,-83.7230500,797.0
34.82013000,-83.7231000,798.0
34.82010000,-83.7231400,799.0
34.82006000,-83.7231800,799.0
34.82002000,-83.7232100,800.0
34.81997000,-83.7232300,800.0
34.81995000,-83.7232700,800.0
34.81990000,-83.7232900,800.0
34.81986000,-83.7233200,800.0
34.81983000,-83.7233700,800.0
34.81980000,-83.7234100,800.0
34.81976000,-83.7234300,800.0
34.81972000,-83.7234600,800.0
34.81968000,-83.7234900,800.0
34.81964000,-83.7235300,799.0
34.81952000,-83.7235900,799.0
34.81950000,-83.7236200,799.0
34.81945000,-83.7236400,799.0
34.81941000,-83.7236600,799.0
34.81937000,-83.7236900,800.0
34.81933000,-83.7237100,800.0
34.81928000,-83.7237200,801.0
34.81909000,-83.7237400,801.0
34.81904000,-83.7237500,801.0
34.81900000,-83.7237400,801.0
34.81895000,-83.7237400,801.0
34.81890000,-83.7237300,801.0
34.81886000,-83.7237300,800.0
34.81881000,-83.7237300,800.0
34.81876000,-83.7237300,800.0
34.81853000,-83.7237000,800.0
34.81849000,-83.7236900,800.0
34.81845000,-83.7236800,800.0
34.81840000,-83.7236800,800.0
34.81835000,-83.7236600,800.0
34.81830000,-83.7236500,799.0
34.81826000,-83.7236400,799.0
34.81821000,-83.7236400,799.0
34.81805000,-83.7237000,799.0
34.81804000,-83.7237200,799.0
34.81800000,-83.7237500,799.0
34.81796000,-83.7237800,799.0
34.81792000,-83.7238300,798.0
34.81789000,-83.7238700,798.0
34.81785000,-83.7239000,798.0
34.81781000,-83.7239300,798.0
34.81744000,-83.7240700,799.0
34.81739000,-83.7240900,799.0
34.81735000,-83.7240900,800.0
34.81730000,-83.7240700,800.0
34.81726000,-83.7240900,800.0
34.81722000,-83.7241200,801.0
34.81717000,-83.7241400,801.0
34.81712000,-83.7241400,802.0
34.81691000,-83.7241300,803.0
34.81687000,-83.7241200,803.0
34.81682000,-83.7241100,804.0
34.81678000,-83.7240900,804.0
34.81673000,-83.7240600,805.0
34.81669000,-83.7240500,805.0
34.81664000,-83.7240400,805.0
34.81648000,-83.7239900,806.0
34.81647000,-83.7239800,805.0
34.81643000,-83.7239700,805.0
34.81638000,-83.7239600,805.0
34.81633000,-83.7239500,805.0
34.81629000,-83.7239500,805.0
34.81624000,-83.7239500,805.0
34.81619000,-83.7239600,806.0
34.81615000,-83.7239800,806.0
34.81610000,-83.7240000,807.0
34.81607000,-83.7240400,808.0
34.81605000,-83.7240900,810.0
34.81606000,-83.7241500,811.0
34.81608000,-83.7242000,812.0
34.81612000,-83.7242400,813.0
34.81616000,-83.7242700,813.0
34.81621000,-83.7242800,812.0
34.81625000,-83.7242900,812.0
34.81629000,-83.7243100,812.0
34.81633000,-83.7243500,812.0
34.81636000,-83.7243900,812.0
34.81638000,-83.7244600,812.0
34.81639000,-83.7245100,813.0
34.81640000,-83.7245700,814.0
34.81641000,-83.7246200,814.0
34.81642000,-83.7246800,815.0
34.81644000,-83.7247300,816.0
34.81647000,-83.7247600,817.0
34.81652000,-83.7247900,817.0
34.81656000,-83.7248000,817.0
34.81661000,-83.7248000,816.0
34.81661000,-83.7247900,816.0
34.81663000,-83.7247900,815.0
34.81668000,-83.7247800,814.0
34.81672000,-83.7247800,814.0
34.81677000,-83.7248100,815.0
34.81680000,-83.7248500,816.0
34.81684000,-83.7248900,816.0
34.81688000,-83.7249300,817.0
34.81689000,-83.7249200,816.0
34.81690000,-83.7249200,816.0
34.81695000,-83.7249300,816.0
34.81699000,-83.7249300,816.0
34.81704000,-83.7249400,816.0
34.81707000,-83.7249800,817.0
34.81710000,-83.7250300,818.0
34.81711000,-83.7250800,820.0
34.81713000,-83.7251400,822.0
34.81716000,-83.7251900,824.0
34.81718000,-83.7252400,825.0
34.81722000,-83.7252800,826.0
34.81726000,-83.7253200,827.0
34.81729000,-83.7253600,829.0
34.81731000,-83.7254000,831.0
34.81734000,-83.7254500,833.0
34.81735000,-83.7255100,836.0
34.81738000,-83.7255600,837.0
34.81739000,-83.7256200,838.0
34.81739000,-83.7256100,838.0
34.81741000,-83.7256600,838.0
34.81742000,-83.7257200,839.0
34.81742000,-83.7257800,840.0
34.81742000,-83.7258400,842.0
34.81740000,-83.7258900,842.0
34.81738000,-83.7259400,843.0
34.81736000,-83.7259900,844.0
34.81732000,-83.7260300,845.0
34.81729000,-83.7260700,846.0
34.81725000,-83.7261100,847.0
34.81722000,-83.7261500,848.0
34.81719000,-83.7262000,849.0
34.81721000,-83.7262500,849.0
34.81726000,-83.7262600,848.0
34.81731000,-83.7262600,847.0
34.81735000,-83.7262600,846.0
34.81736000,-83.7262600,846.0
34.81737000,-83.7262700,846.0
34.81741000,-83.7262700,845.0
34.81746000,-83.7262700,844.0
34.81750000,-83.7262800,844.0
34.81755000,-83.7263000,843.0
34.81759000,-83.7263200,842.0
34.81764000,-83.7263400,842.0
34.81768000,-83.7263700,841.0
34.81772000,-83.7264100,842.0
34.81776000,-83.7264600,843.0
34.81781000,-83.7264800,843.0
34.81785000,-83.7265100,844.0
34.81789000,-83.7265300,845.0
34.81790000,-83.7265300,845.0
34.81794000,-83.7265300,845.0
34.81799000,-83.7265300,845.0
34.81803000,-83.7265000,844.0
34.81807000,-83.7264700,843.0
34.81810000,-83.7264200,842.0
34.81813000,-83.7263700,842.0
34.81815000,-83.7263200,842.0
34.81816000,-83.7262700,842.0
34.81819000,-83.7262200,843.0
34.81824000,-83.7261900,843.0
34.81828000,-83.7261800,844.0
34.81833000,-83.7261700,845.0
34.81839000,-83.7261700,846.0
34.81837000,-83.7261700,846.0
34.81842000,-83.7261700,847.0
34.81846000,-83.7261800,847.0
34.81851000,-83.7261900,848.0
34.81855000,-83.7262000,849.0
34.81860000,-83.7262000,850.0
34.81865000,-83.7262100,851.0
34.81870000,-83.7262100,851.0
34.81875000,-83.7262200,852.0
34.81879000,-83.7262400,853.0
34.81884000,-83.7262700,854.0
34.81886000,-83.7263200,856.0
34.81884000,-83.7263700,858.0
34.81880000,-83.7264100,858.0
34.81875000,-83.7264200,857.0
34.81877000,-83.7264200,858.0
34.81875000,-83.7264500,858.0
34.81871000,-83.7265000,858.0
34.81868000,-83.7265400,858.0
34.81864000,-83.7265900,858.0
34.81860000,-83.7266300,858.0
34.81857000,-83.7266800,858.0
34.81854000,-83.7267300,859.0
34.81850000,-83.7267800,860.0
34.81847000,-83.7268300,861.0
34.81843000,-83.7268700,862.0
34.81839000,-83.7269200,864.0
34.81835000,-83.7269500,865.0
34.81829000,-83.7269800,865.0
34.81825000,-83.7270000,866.0
34.81820000,-83.7270200,866.0
34.81815000,-83.7270400,867.0
34.81810000,-83.7270500,867.0
34.81805000,-83.7270700,867.0
34.81801000,-83.7270900,868.0
34.81796000,-83.7271100,868.0
34.81791000,-83.7271100,868.0
34.81786000,-83.7271100,868.0
34.81781000,-83.7271000,867.0
34.81775000,-83.7271400,869.0
34.81769000,-83.7271400,870.0
34.81759000,-83.7271300,871.0
34.81754000,-83.7271300,872.0
34.81749000,-83.7271500,874.0
34.81733000,-83.7271800,877.0
34.81720000,-83.7272200,879.0
34.81710000,-83.7272500,880.0
34.81700000,-83.7272800,879.0
34.81692000,-83.7273000,880.0
34.81686000,-83.7273000,880.0
34.81680000,-83.7272900,880.0
34.81673000,-83.7272700,881.0
34.81667000,-83.7272300,881.0
34.81656000,-83.7271800,881.0
34.81647000,-83.7271500,881.0
34.81640000,-83.7271100,881.0
34.81629000,-83.7270600,881.0
34.81624000,-83.7270400,882.0
34.81620000,-83.7270100,882.0
34.81616000,-83.7270000,883.0
34.81614000,-83.7270100,883.0
34.81609000,-83.7269500,884.0
34.81610000,-83.7269500,884.0
