Latitude,Longitude,Elevation
33.99598000,-84.2514000,296.0
33.99603000,-84.2513500,296.0
33.99604000,-84.2512400,296.0
33.99598000,-84.2511000,294.0
33.99595000,-84.2510400,293.0
33.99593000,-84.2509600,291.0
33.99608000,-84.2508100,289.0
33.99616000,-84.2507800,288.0
33.99620000,-84.2507700,289.0
33.99620000,-84.2507400,288.0
33.99618000,-84.2507400,287.0
33.99612000,-84.2507200,286.0
33.99606000,-84.2507000,285.0
33.99603000,-84.2506800,284.0
33.99602000,-84.2506500,283.0
33.99604000,-84.2505900,281.0
33.99611000,-84.2504600,278.0
33.99616000,-84.2503900,277.0
33.99624000,-84.2503400,276.0
33.99633000,-84.2503100,275.0
33.99644000,-84.2502700,275.0
33.99652000,-84.2501700,275.0
33.99659000,-84.2501300,275.0
33.99673000,-84.2501000,276.0
33.99698000,-84.2500000,278.0
33.99708000,-84.2499500,277.0
33.99723000,-84.2499200,277.0
33.99748000,-84.2497700,275.0
33.99758000,-84.2496800,275.0
33.99768000,-84.2495900,276.0
33.99777000,-84.2495400,276.0
33.99786000,-84.2495300,277.0
33.99795000,-84.2494900,278.0
33.99816000,-84.2492900,279.0
33.99830000,-84.2491700,279.0
33.99846000,-84.2490900,277.0
33.99867000,-84.2488900,275.0
33.99877000,-84.2488600,276.0
33.99885000,-84.2488400,276.0
33.99887000,-84.2488000,276.0
33.99885000,-84.2486500,276.0
33.99884000,-84.2485800,276.0
33.99889000,-84.2485000,277.0
33.99891000,-84.2484000,277.0
33.99896000,-84.2482200,277.0
33.99901000,-84.2481200,277.0
33.99899000,-84.2480900,278.0
33.99901000,-84.2479000,278.0
33.99902000,-84.2478400,278.0
33.99904000,-84.2478400,278.0
33.99906000,-84.2477700,278.0
33.99906000,-84.2476800,279.0
33.99907000,-84.2476400,279.0
33.99910000,-84.2475000,279.0
33.99916000,-84.2473500,280.0
33.99919000,-84.2472000,281.0
33.99920000,-84.2470900,281.0
33.99921000,-84.2469500,281.0
33.99922000,-84.2468000,280.0
33.99929000,-84.2465300,280.0
33.99933000,-84.2464000,279.0
33.99932000,-84.2462800,278.0
33.99931000,-84.2461500,276.0
33.99932000,-84.2460500,275.0
33.99929000,-84.2459300,274.0
33.99928000,-84.2458200,273.0
33.99932000,-84.2456800,272.0
33.99939000,-84.2455800,272.0
33.99943000,-84.2455300,273.0
33.99953000,-84.2452200,274.0
33.99956000,-84.2450900,275.0
33.99959000,-84.2449800,276.0
33.99956000,-84.2448700,276.0
33.99953000,-84.2448000,275.0
33.99957000,-84.2446900,276.0
33.99964000,-84.2445600,276.0
33.99972000,-84.2444400,275.0
33.99975000,-84.2442700,275.0
33.99975000,-84.2441900,275.0
33.99974000,-84.2440600,274.0
33.99978000,-84.2437800,274.0
33.99978000,-84.2436000,274.0
33.99982000,-84.2431400,278.0
33.99988000,-84.2426700,279.0
33.99992000,-84.2423600,276.0
34.00004000,-84.2421000,275.0
34.00007000,-84.2420000,275.0
34.00006000,-84.2418200,274.0
34.00001000,-84.2416200,273.0
34.00008000,-84.2413400,274.0
34.00010000,-84.2411600,275.0
34.00014000,-84.2410100,275.0
34.00030000,-84.2404800,278.0
34.00038000,-84.2401400,280.0
34.00037000,-84.2400400,279.0
34.00034000,-84.2399200,278.0
34.00030000,-84.2397900,277.0
34.00030000,-84.2396500,277.0
34.00029000,-84.2395200,277.0
34.00028000,-84.2393000,279.0
34.00033000,-84.2393000,279.0
34.00039000,-84.2393300,280.0
34.00049000,-84.2393900,281.0
34.00059000,-84.2394200,283.0
34.00061000,-84.2394200,283.0
34.00064000,-84.2394200,283.0
34.00070000,-84.2394000,283.0
34.00075000,-84.2393900,283.0
34.00081000,-84.2393800,283.0
34.00087000,-84.2393500,283.0
34.00097000,-84.2394300,283.0
34.00099000,-84.2394300,283.0
