Latitude,Longitude,Elevation
34.01233000,-84.3577200,308.0
34.01234000,-84.3576600,309.0
34.01235000,-84.3576100,309.0
34.01234000,-84.3575500,309.0
34.01234000,-84.3575000,310.0
34.01233000,-84.3574400,310.0
34.01233000,-84.3574300,310.0
34.01225000,-84.3571000,311.0
34.01225000,-84.3570400,311.0
34.01225000,-84.3569900,311.0
34.01225000,-84.3569300,311.0
34.01226000,-84.3568700,312.0
34.01226000,-84.3568100,312.0
34.01226000,-84.3567600,312.0
34.01226000,-84.3567000,313.0
34.01226000,-84.3566500,313.0
34.01226000,-84.3565900,313.0
34.01226000,-84.3565400,313.0
34.01225000,-84.3564800,313.0
34.01223000,-84.3564200,313.0
34.01223000,-84.3563700,314.0
34.01224000,-84.3563100,314.0
34.01224000,-84.3562900,314.0
34.01225000,-84.3561000,315.0
34.01224000,-84.3560500,315.0
34.01224000,-84.3559900,316.0
34.01224000,-84.3559300,317.0
34.01225000,-84.3558800,317.0
34.01226000,-84.3558200,318.0
34.01226000,-84.3557600,319.0
34.01227000,-84.3557100,319.0
34.01227000,-84.3556600,320.0
34.01228000,-84.3556000,321.0
34.01228000,-84.3555400,321.0
34.01228000,-84.3554900,321.0
34.01227000,-84.3553600,321.0
34.01227000,-84.3552900,321.0
34.01226000,-84.3552300,322.0
34.01225000,-84.3551800,322.0
34.01223000,-84.3551200,322.0
34.01222000,-84.3550600,322.0
34.01221000,-84.3550100,321.0
34.01219000,-84.3549500,321.0
34.01217000,-84.3549000,321.0
34.01214000,-84.3548500,321.0
34.01212000,-84.3548000,321.0
34.01210000,-84.3547500,321.0
34.01208000,-84.3546900,321.0
34.01206000,-84.3546400,322.0
34.01204000,-84.3545900,322.0
34.01203000,-84.3545300,323.0
34.01201000,-84.3544800,324.0
34.01200000,-84.3544200,324.0
34.01200000,-84.3543700,324.0
34.01200000,-84.3541900,325.0
34.01200000,-84.3541400,326.0
34.01201000,-84.3540800,326.0
34.01203000,-84.3540300,326.0
34.01205000,-84.3539800,327.0
34.01210000,-84.3539600,327.0
34.01214000,-84.3539600,327.0
34.01219000,-84.3539700,327.0
34.01224000,-84.3539800,327.0
34.01228000,-84.3539900,327.0
34.01232000,-84.3539900,326.0
34.01236000,-84.3539900,326.0
34.01237000,-84.3539800,326.0
34.01238000,-84.3539600,326.0
34.01238000,-84.3539400,326.0
34.01237000,-84.3538900,327.0
34.01237000,-84.3538300,327.0
34.01236000,-84.3537800,327.0
34.01231000,-84.3536200,328.0
34.01230000,-84.3535900,328.0
34.01228000,-84.3535400,328.0
34.01224000,-84.3534900,328.0
34.01220000,-84.3534500,328.0
34.01217000,-84.3534000,328.0
34.01213000,-84.3533600,328.0
34.01211000,-84.3533100,327.0
34.01209000,-84.3532500,328.0
34.01209000,-84.3532000,328.0
34.01213000,-84.3530000,329.0
34.01213000,-84.3529500,330.0
34.01213000,-84.3528900,330.0
34.01212000,-84.3528400,330.0
34.01212000,-84.3527800,330.0
34.01212000,-84.3527200,331.0
34.01211000,-84.3526600,331.0
34.01210000,-84.3526000,331.0
34.01209000,-84.3525500,331.0
34.01208000,-84.3524900,331.0
34.01207000,-84.3524200,331.0
34.01206000,-84.3523700,331.0
34.01204000,-84.3523100,331.0
34.01203000,-84.3522400,331.0
34.01202000,-84.3521900,331.0
34.01202000,-84.3521200,330.0
34.01203000,-84.3520700,330.0
34.01207000,-84.3518500,331.0
34.01208000,-84.3518100,331.0
34.01208000,-84.3517600,331.0
34.01207000,-84.3517100,331.0
34.01205000,-84.3516500,330.0
34.01203000,-84.3516000,330.0
34.01200000,-84.3515600,330.0
34.01196000,-84.3515200,329.0
34.01193000,-84.3514800,328.0
34.01189000,-84.3514500,328.0
34.01185000,-84.3514100,328.0
34.01180000,-84.3513800,327.0
34.01176000,-84.3513500,327.0
34.01150000,-84.3511100,327.0
34.01149000,-84.3511000,327.0
34.01146000,-84.3510700,327.0
34.01141000,-84.3510600,327.0
34.01137000,-84.3510800,327.0
34.01130000,-84.3511400,327.0
34.01128000,-84.3511900,327.0
34.01127000,-84.3512500,327.0
34.01127000,-84.3513100,327.0
34.01128000,-84.3513600,327.0
34.01128000,-84.3514100,328.0
34.01128000,-84.3514700,328.0
34.01127000,-84.3517600,328.0
34.01127000,-84.3517800,328.0
34.01127000,-84.3518400,328.0
34.01127000,-84.3518900,328.0
34.01126000,-84.3519500,328.0
34.01126000,-84.3520100,328.0
34.01127000,-84.3520700,328.0
34.01128000,-84.3521300,329.0
34.01129000,-84.3521900,329.0
34.01129000,-84.3522500,329.0
34.01130000,-84.3523000,328.0
34.01130000,-84.3523600,328.0
34.01129000,-84.3524200,327.0
34.01129000,-84.3524700,327.0
34.01129000,-84.3525300,326.0
34.01129000,-84.3525800,326.0
34.01128000,-84.3526500,325.0
34.01127000,-84.3527000,324.0
34.01125000,-84.3527500,323.0
34.01122000,-84.3528100,323.0
34.01121000,-84.3528700,322.0
34.01119000,-84.3529300,321.0
34.01113000,-84.3532900,315.0
34.01112000,-84.3533300,315.0
34.01110000,-84.3533900,313.0
34.01108000,-84.3534400,311.0
34.01105000,-84.3534800,309.0
34.01101000,-84.3535000,308.0
34.01096000,-84.3535100,307.0
34.01091000,-84.3535100,307.0
34.01087000,-84.3534900,307.0
34.01069000,-84.3534100,308.0
34.01068000,-84.3534000,308.0
34.01063000,-84.3533800,308.0
34.01059000,-84.3533500,308.0
34.01055000,-84.3533200,308.0
34.01050000,-84.3532800,308.0
34.01034000,-84.3530500,311.0
34.01033000,-84.3530400,311.0
34.01029000,-84.3530000,311.0
34.01025000,-84.3529600,311.0
34.01021000,-84.3529400,311.0
34.01017000,-84.3529300,311.0
34.01012000,-84.3529100,311.0
34.01008000,-84.3528900,311.0
34.01003000,-84.3528700,312.0
34.00986000,-84.3526800,314.0
34.00984000,-84.3526600,313.0
34.00980000,-84.3526300,313.0
34.00976000,-84.3526100,312.0
34.00966000,-84.3525700,310.0
34.00963000,-84.3525600,309.0
34.00959000,-84.3525500,308.0
34.00954000,-84.3525300,307.0
34.00950000,-84.3525100,306.0
34.00945000,-84.3524900,305.0
34.00941000,-84.3524600,304.0
34.00936000,-84.3524100,303.0
34.00931000,-84.3523700,302.0
34.00918000,-84.3521600,301.0
34.00901000,-84.3518700,300.0
34.00891000,-84.3516800,299.0
34.00889000,-84.3516500,299.0
34.00886000,-84.3516100,298.0
34.00882000,-84.3515700,298.0
34.00877000,-84.3515700,297.0
34.00873000,-84.3515800,296.0
34.00868000,-84.3515800,296.0
34.00863000,-84.3515800,295.0
34.00859000,-84.3515600,294.0
34.00855000,-84.3515400,294.0
34.00849000,-84.3514700,294.0
34.00848000,-84.3514600,294.0
34.00845000,-84.3514200,294.0
34.00841000,-84.3513800,294.0
34.00839000,-84.3513400,294.0
34.00836000,-84.3512800,294.0
34.00834000,-84.3512300,294.0
34.00831000,-84.3511800,294.0
34.00828000,-84.3511300,293.0
34.00806000,-84.3508600,288.0
34.00803000,-84.3508200,287.0
34.00800000,-84.3507800,287.0
34.00798000,-84.3507300,286.0
34.00796000,-84.3506800,286.0
34.00795000,-84.3506600,286.0
34.00795000,-84.3506500,286.0
34.00795000,-84.3506300,286.0
34.00795000,-84.3506200,286.0
34.00796000,-84.3505900,287.0
34.00796000,-84.3505700,287.0
34.00796000,-84.3505500,287.0
34.00795000,-84.3505300,287.0
34.00794000,-84.3505200,287.0
34.00793000,-84.3505100,287.0
34.00792000,-84.3505100,287.0
34.00790000,-84.3505100,286.0
34.00787000,-84.3505400,285.0
34.00783000,-84.3505800,284.0
34.00781000,-84.3506300,284.0
34.00780000,-84.3506800,283.0
34.00780000,-84.3507400,283.0
34.00780000,-84.3508000,282.0
34.00780000,-84.3508500,282.0
34.00781000,-84.3509100,282.0
34.00783000,-84.3509600,283.0
34.00784000,-84.3510100,283.0
34.00786000,-84.3510700,283.0
34.00788000,-84.3511200,284.0
34.00791000,-84.3511700,285.0
34.00794000,-84.3512100,285.0
34.00796000,-84.3512300,286.0
34.00796000,-84.3512400,286.0
34.00797000,-84.3512600,286.0
34.00797000,-84.3512800,286.0
34.00796000,-84.3512900,286.0
34.00795000,-84.3513000,286.0
34.00793000,-84.3513000,286.0
34.00792000,-84.3513000,285.0
34.00788000,-84.3512900,284.0
34.00786000,-84.3512800,284.0
34.00782000,-84.3512500,283.0
34.00767000,-84.3510300,278.0
34.00756000,-84.3509000,275.0
34.00738000,-84.3507400,273.0
