Latitude,Longitude,Elevation
34.83884000,-85.4813200,521.0
34.83878000,-85.4813400,519.0
34.83874000,-85.4813800,517.0
34.83868000,-85.4814000,515.0
34.83865000,-85.4814600,515.0
34.83865000,-85.4814700,515.0
34.83865000,-85.4815500,515.0
34.83863000,-85.4815700,515.0
34.83860000,-85.4815600,514.0
34.83860000,-85.4814900,513.0
34.83859000,-85.4814200,512.0
34.83856000,-85.4813800,511.0
34.83860000,-85.4814200,513.0
34.83860000,-85.4814800,513.0
34.83860000,-85.4815600,514.0
34.83863000,-85.4815700,515.0
34.83865000,-85.4815500,515.0
34.83867000,-85.4815600,516.0
34.83868000,-85.4815800,517.0
34.83870000,-85.4816400,518.0
34.83874000,-85.4817000,519.0
34.83877000,-85.4817600,520.0
34.83881000,-85.4818200,520.0
34.83885000,-85.4818700,521.0
34.83890000,-85.4819200,522.0
34.83895000,-85.4819800,524.0
34.83898000,-85.4820400,525.0
34.83902000,-85.4820900,526.0
34.83904000,-85.4821500,527.0
34.83905000,-85.4822200,528.0
34.83905000,-85.4822800,528.0
34.83906000,-85.4823500,529.0
34.83907000,-85.4824100,529.0
34.83908000,-85.4824800,530.0
34.83910000,-85.4825400,530.0
34.83911000,-85.4826000,531.0
34.83913000,-85.4826600,532.0
34.83912000,-85.4827300,533.0
34.83912000,-85.4828000,533.0
34.83910000,-85.4828700,534.0
34.83909000,-85.4829400,534.0
34.83907000,-85.4830100,534.0
34.83906000,-85.4830800,535.0
34.83904000,-85.4831600,535.0
34.83904000,-85.4832200,535.0
34.83903000,-85.4832900,536.0
34.83904000,-85.4833600,536.0
34.83905000,-85.4834200,537.0
34.83907000,-85.4834800,537.0
34.83908000,-85.4835400,537.0
34.83910000,-85.4836100,537.0
34.83909000,-85.4836800,537.0
34.83909000,-85.4837400,537.0
34.83907000,-85.4838200,537.0
34.83906000,-85.4838900,537.0
34.83905000,-85.4839500,536.0
34.83905000,-85.4840200,536.0
34.83905000,-85.4840900,536.0
34.83905000,-85.4841100,535.0
34.83906000,-85.4841500,535.0
34.83904000,-85.4842200,535.0
34.83902000,-85.4842800,534.0
34.83897000,-85.4843100,534.0
34.83891000,-85.4843100,534.0
34.83886000,-85.4842800,534.0
34.83881000,-85.4842200,535.0
34.83879000,-85.4841600,536.0
34.83875000,-85.4841000,536.0
34.83873000,-85.4840400,537.0
34.83872000,-85.4839800,537.0
34.83870000,-85.4839200,538.0
34.83869000,-85.4838500,538.0
34.83868000,-85.4837900,539.0
34.83866000,-85.4837300,539.0
34.83864000,-85.4836700,539.0
34.83863000,-85.4836000,539.0
34.83861000,-85.4835400,539.0
34.83860000,-85.4834800,539.0
34.83860000,-85.4834100,538.0
34.83860000,-85.4833400,538.0
34.83861000,-85.4832700,537.0
34.83861000,-85.4832100,537.0
34.83862000,-85.4831400,536.0
34.83860000,-85.4830700,536.0
34.83859000,-85.4830100,535.0
34.83855000,-85.4829600,534.0
34.83851000,-85.4829000,534.0
34.83847000,-85.4828400,533.0
34.83842000,-85.4827900,533.0
34.83837000,-85.4827400,532.0
34.83832000,-85.4827000,531.0
34.83828000,-85.4826500,530.0
34.83822000,-85.4826300,530.0
34.83817000,-85.4826000,529.0
34.83812000,-85.4825800,530.0
34.83806000,-85.4825500,530.0
34.83801000,-85.4825300,530.0
34.83796000,-85.4825000,530.0
34.83791000,-85.4824600,529.0
34.83788000,-85.4824000,529.0
34.83788000,-85.4823400,528.0
34.83788000,-85.4822700,527.0
34.83785000,-85.4822100,527.0
34.83780000,-85.4821700,526.0
34.83774000,-85.4821600,526.0
34.83769000,-85.4821400,525.0
34.83763000,-85.4821400,525.0
34.83758000,-85.4821700,526.0
34.83753000,-85.4822000,526.0
34.83749000,-85.4822400,527.0
34.83745000,-85.4822800,526.0
34.83740000,-85.4823100,526.0
34.83735000,-85.4823500,526.0
34.83729000,-85.4823600,526.0
34.83723000,-85.4823600,525.0
34.83718000,-85.4823400,524.0
34.83712000,-85.4823300,522.0
34.83707000,-85.4823100,521.0
34.83702000,-85.4823200,520.0
34.83699000,-85.4823700,521.0
34.83694000,-85.4824000,521.0
34.83691000,-85.4824500,522.0
34.83687000,-85.4825000,522.0
34.83685000,-85.4825600,524.0
34.83683000,-85.4826200,525.0
34.83681000,-85.4827000,527.0
34.83679000,-85.4827600,528.0
34.83676000,-85.4828200,529.0
34.83674000,-85.4828800,530.0
34.83670000,-85.4829200,530.0
34.83667000,-85.4829700,531.0
34.83664000,-85.4830300,532.0
34.83661000,-85.4830800,532.0
34.83658000,-85.4831300,532.0
34.83654000,-85.4831800,531.0
34.83650000,-85.4832200,531.0
34.83646000,-85.4832600,531.0
34.83641000,-85.4832900,531.0
34.83638000,-85.4833500,532.0
34.83636000,-85.4834200,533.0
34.83637000,-85.4834800,534.0
34.83638000,-85.4835500,536.0
34.83637000,-85.4836000,537.0
34.83634000,-85.4836500,537.0
34.83630000,-85.4837000,537.0
34.83629000,-85.4837700,538.0
34.83630000,-85.4838400,539.0
34.83630000,-85.4839000,540.0
34.83629000,-85.4839600,541.0
34.83624000,-85.4839900,540.0
34.83618000,-85.4840000,540.0
34.83612000,-85.4839900,539.0
34.83607000,-85.4839800,537.0
34.83602000,-85.4840000,537.0
34.83599000,-85.4840600,537.0
34.83596000,-85.4841000,537.0
34.83593000,-85.4841600,538.0
34.83590000,-85.4842100,538.0
34.83587000,-85.4842600,539.0
34.83583000,-85.4843100,539.0
34.83580000,-85.4843600,539.0
34.83575000,-85.4844000,539.0
34.83572000,-85.4844500,540.0
34.83568000,-85.4844900,540.0
34.83563000,-85.4845300,540.0
34.83559000,-85.4845700,540.0
34.83555000,-85.4846000,540.0
34.83550000,-85.4846400,540.0
34.83546000,-85.4846800,540.0
34.83543000,-85.4847300,540.0
34.83538000,-85.4847700,539.0
34.83534000,-85.4848100,538.0
34.83530000,-85.4848500,538.0
34.83525000,-85.4848900,537.0
34.83520000,-85.4849100,537.0
34.83515000,-85.4849400,537.0
34.83510000,-85.4849700,536.0
34.83503000,-85.4849900,536.0
34.83497000,-85.4850000,536.0
34.83491000,-85.4850200,536.0
34.83485000,-85.4850400,537.0
34.83479000,-85.4850500,537.0
34.83472000,-85.4850700,538.0
34.83466000,-85.4850900,537.0
34.83460000,-85.4851000,537.0
34.83454000,-85.4851200,537.0
34.83449000,-85.4851500,537.0
34.83443000,-85.4851800,537.0
34.83438000,-85.4852000,537.0
34.83433000,-85.4852300,537.0
34.83429000,-85.4852700,537.0
34.83423000,-85.4852900,537.0
34.83419000,-85.4853400,538.0
34.83415000,-85.4853700,538.0
34.83411000,-85.4854200,539.0
34.83405000,-85.4854400,539.0
34.83401000,-85.4854800,539.0
34.83395000,-85.4855000,539.0
34.83392000,-85.4855600,541.0
34.83389000,-85.4856100,542.0
34.83386000,-85.4856700,543.0
34.83383000,-85.4857200,544.0
34.83380000,-85.4857700,545.0
34.83374000,-85.4857900,545.0
34.83370000,-85.4858300,546.0
34.83364000,-85.4858500,546.0
34.83360000,-85.4859000,547.0
34.83356000,-85.4859400,548.0
34.83352000,-85.4859800,549.0
34.83346000,-85.4860000,550.0
34.83341000,-85.4860300,551.0
34.83335000,-85.4860300,551.0
34.83329000,-85.4860400,551.0
34.83323000,-85.4860400,551.0
34.83318000,-85.4860300,550.0
34.83312000,-85.4860200,550.0
34.83306000,-85.4860200,550.0
34.83301000,-85.4860100,549.0
34.83295000,-85.4860000,548.0
34.83290000,-85.4859800,548.0
34.83284000,-85.4859700,547.0
34.83279000,-85.4859200,546.0
34.83274000,-85.4858900,545.0
34.83270000,-85.4858500,544.0
34.83266000,-85.4858200,543.0
34.83265000,-85.4857700,542.0
34.83268000,-85.4857100,540.0
34.83273000,-85.4856800,538.0
34.83279000,-85.4856700,538.0
34.83285000,-85.4856500,537.0
34.83291000,-85.4856300,536.0
34.83298000,-85.4856100,535.0
34.83304000,-85.4856000,534.0
34.83310000,-85.4855800,534.0
34.83316000,-85.4855600,533.0
34.83321000,-85.4855400,533.0
34.83327000,-85.4855200,532.0
34.83331000,-85.4854700,530.0
34.83334000,-85.4854300,529.0
34.83331000,-85.4854100,528.0
34.83326000,-85.4854100,527.0
34.83319000,-85.4854200,527.0
34.83313000,-85.4854400,527.0
34.83307000,-85.4854600,527.0
34.83301000,-85.4854600,528.0
34.83295000,-85.4854700,529.0
34.83290000,-85.4854500,528.0
34.83284000,-85.4854400,528.0
34.83279000,-85.4854100,527.0
34.83273000,-85.4854000,527.0
34.83268000,-85.4853500,526.0
34.83264000,-85.4853100,524.0
34.83259000,-85.4852500,523.0
34.83254000,-85.4852000,522.0
34.83251000,-85.4851700,521.0
34.83247000,-85.4851200,520.0
34.83234000,-85.4850000,520.0
34.83220000,-85.4848800,522.0
34.83214000,-85.4848100,523.0
34.83214000,-85.4847700,522.0
34.83219000,-85.4847600,521.0
34.83224000,-85.4847900,520.0
34.83243000,-85.4848600,516.0
34.83251000,-85.4848700,515.0
34.83255000,-85.4848400,514.0
34.83259000,-85.4847200,514.0
34.83261000,-85.4846600,513.0
34.83266000,-85.4846500,513.0
34.83272000,-85.4846700,512.0
34.83277000,-85.4847000,512.0
34.83282000,-85.4847200,511.0
34.83287000,-85.4847500,510.0
34.83292000,-85.4847900,509.0
34.83297000,-85.4848100,509.0
34.83303000,-85.4848500,508.0
34.83308000,-85.4848500,508.0
34.83313000,-85.4848200,508.0
34.83316000,-85.4847600,507.0
34.83318000,-85.4846900,507.0
34.83319000,-85.4846200,507.0
34.83319000,-85.4845500,508.0
34.83320000,-85.4844800,508.0
34.83319000,-85.4844200,509.0
34.83319000,-85.4843500,512.0
34.83322000,-85.4843000,513.0
34.83325000,-85.4842400,514.0
34.83327000,-85.4841800,516.0
34.83330000,-85.4841200,518.0
34.83332000,-85.4840600,520.0
34.83335000,-85.4840000,522.0
34.83337000,-85.4839400,525.0
34.83341000,-85.4838900,527.0
34.83344000,-85.4838400,528.0
34.83347000,-85.4837800,529.0
34.83350000,-85.4837300,531.0
34.83353000,-85.4836800,532.0
34.83357000,-85.4836400,533.0
34.83360000,-85.4835900,534.0
34.83364000,-85.4835400,532.0
34.83364000,-85.4834900,533.0
34.83365000,-85.4834400,533.0
34.83367000,-85.4834000,532.0
34.83371000,-85.4833600,532.0
34.83376000,-85.4833300,531.0
34.83381000,-85.4832900,530.0
34.83385000,-85.4832500,530.0
34.83389000,-85.4832100,529.0
34.83390000,-85.4831600,529.0
34.83387000,-85.4831000,531.0
34.83384000,-85.4830400,533.0
34.83379000,-85.4829800,536.0
34.83379000,-85.4829200,537.0
34.83381000,-85.4828500,538.0
34.83382000,-85.4827800,540.0
34.83384000,-85.4827100,540.0
34.83385000,-85.4826300,541.0
34.83387000,-85.4825600,541.0
34.83388000,-85.4824900,542.0
34.83390000,-85.4824200,541.0
34.83393000,-85.4823600,541.0
34.83395000,-85.4823000,540.0
34.83397000,-85.4822400,540.0
34.83401000,-85.4821900,540.0
34.83404000,-85.4821400,540.0
34.83408000,-85.4820900,540.0
34.83412000,-85.4820500,540.0
34.83416000,-85.4820200,540.0
34.83421000,-85.4819800,540.0
34.83426000,-85.4819500,539.0
34.83430000,-85.4819100,539.0
34.83435000,-85.4818700,539.0
34.83440000,-85.4818400,539.0
34.83445000,-85.4818200,538.0
34.83450000,-85.4817900,536.0
34.83457000,-85.4817700,534.0
34.83462000,-85.4817400,533.0
34.83464000,-85.4816800,535.0
34.83464000,-85.4816200,536.0
34.83463000,-85.4815500,538.0
34.83463000,-85.4814900,539.0
34.83464000,-85.4814500,539.0
34.83465000,-85.4814300,540.0
34.83468000,-85.4814000,540.0
34.83470000,-85.4813000,540.0
34.83477000,-85.4811300,541.0
34.83485000,-85.4810100,541.0
34.83492000,-85.4809400,540.0
34.83493000,-85.4808700,540.0
34.83486000,-85.4807800,540.0
34.83475000,-85.4806500,540.0
34.83472000,-85.4805200,539.0
34.83473000,-85.4804400,539.0
34.83477000,-85.4804000,538.0
34.83482000,-85.4803300,538.0
